date,power,longitude,latitude,place
6/15/2017 16:56,2.4,36.54,125.07,충남 태안군 서격렬비도 서쪽 42km 해역
6/14/2017 2:43,2.2,38.34,126.14,북한 황해북도 평산 서쪽 22km 지역
6/13/2017 8:01,2.1,35.74,129.18,경북 경주시 남남서쪽 11km 지역
6/11/2017 20:31,2.5,35.77,129.17,경북 경주시 남남서쪽 9km 지역
6/11/2017 18:16,2,37.28,129.21,강원 삼척시 남남동쪽 19km 지역
6/4/2017 5:16,2.1,36.83,128.1,충북 충주시 남동쪽 24km 지역
5/28/2017 15:47,2.7,35.67,129.56,울산 북구 동북동쪽 20km 해역
5/25/2017 11:20,3,36.96,124.4,충남 태안군 서격렬비도 서북서쪽 109km 해역
5/20/2017 22:29,2.9,37.73,129.62,강원 동해시 동북동쪽 50km 해역
5/20/2017 16:29,2,35.92,128.27,경북 성주군 북서쪽 1km 지역
5/16/2017 23:29,2.2,36.6,128.92,경북 안동시 동북동쪽 17km 지역
5/16/2017 20:06,2.1,36.85,124.55,충남 태안군 서격렬비도 서북서쪽 92km 해역
5/13/2017 18:37,2.8,36.61,129.44,경북 영덕군 북북동쪽 23km 해역
5/10/2017 22:31,2.1,36.61,129.45,경북 영덕군 북북동쪽 23km 해역
5/10/2017 14:06,2.5,35.88,126.19,전북 부안군 위도 북북서쪽 32km 해역
5/5/2017 23:16,3,35.32,127.43,전남 구례군 북북서쪽 13km 지역
5/5/2017 0:02,2,36.73,128.1,경북 문경시 북북서쪽 18km 지역
5/4/2017 21:46,2.4,36.74,128.1,경북 문경시 북북서쪽 18km 지역
5/4/2017 1:08,2.6,36.61,129.44,경북 영덕군 북북동쪽 22km 해역
4/28/2017 11:19,2.1,36.6,128.81,경북 안동시 동북동쪽 8km 지역
4/28/2017 5:54,2.4,33.33,127.85,제주 서귀포시 성산 동쪽 90km 해역
4/20/2017 16:00,3.2,33.77,127.28,전남 여수시 거문도 남쪽 29km 해역
4/18/2017 17:36,2.1,35.5,128.88,경남 밀양시 동쪽 12km 지역
4/18/2017 1:17,2,35.76,129.18,경북 경주시 남남서쪽 9km 지역
4/16/2017 21:39,2.2,36.7,125.18,충남 태안군 서격렬비도 서북서쪽 33km 해역
4/15/2017 17:16,2,36.11,129.37,경북 포항시 북구 북쪽 8km 지역
4/15/2017 11:31,3.1,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
4/15/2017 5:41,2.2,35.76,129.18,경북 경주시 남남서쪽 9km 지역
4/10/2017 4:02,2.3,35.16,128.77,경남 창원시 진해구 동북동쪽 6km지역
4/9/2017 14:12,2.4,38.99,126.2,북한 평안남도 성천 남쪽 28km 지역
4/9/2017 1:45,2.1,35.76,129.2,경북 경주시 남쪽 9km 지역
4/8/2017 23:13,2.1,38.72,125.61,북한 황해북도 송림 북북서쪽 2km 지역
4/8/2017 18:20,2.7,35.76,129.18,경북 경주시 남남서쪽 9km 지역
4/7/2017 0:04,2,35.97,127.8,전북 무주군 동남동쪽 13km 지역
4/4/2017 23:25,2.2,35.67,129.85,울산 동구 동북동쪽 43km 해역
4/1/2017 16:04,2.2,35.78,129.2,경북 경주시 남남서쪽 7km 지역
3/31/2017 13:53,2.5,35.78,129.2,경북 경주시 남남서쪽 6km 지역
3/31/2017 13:46,3.3,35.78,129.2,경북 경주시 남남서쪽 7km 지역
3/30/2017 21:49,2,35.76,129.19,경북 경주시 남남서쪽 9km 지역
3/28/2017 15:45,2,35.79,129.2,경북 경주시 남남서쪽 5km 지역
3/28/2017 0:48,2.2,37.17,125.48,인천 옹진군 연평도 남남서쪽 58km 해역
3/27/2017 9:28,2,35.21,126.95,광주 북구 북동쪽 5km 지역
3/21/2017 23:19,2.4,38.52,126.03,북한 황해북도 사리원 동쪽 23km 지역
3/19/2017 3:01,2.9,33.32,127.18,제주 서귀포시 성산 동남동쪽 29km 해역
3/14/2017 5:41,2.1,34.64,127.78,전남 여수시 남동쪽 17km 지역
3/9/2017 2:24,2,35.82,129.78,경북 포항시 남구 동남동쪽 43km 해역
3/7/2017 6:53,2.6,37.75,129.71,강원 동해시 동북동쪽 58km 해역
3/7/2017 3:48,2.2,36.3,128.23,경북 구미시 북북서쪽 23km 지역
3/6/2017 6:21,2,35.75,126.1,전북 부안군 위도 북서쪽 24km 해역
3/5/2017 19:19,2.1,37.77,129.7,강원 동해시 동북동쪽 58km 해역
3/5/2017 15:09,2.1,37.72,129.59,강원 동해시 동북동쪽 47km 해역
3/5/2017 9:28,2.4,37.74,129.69,강원 동해시 동북동쪽 56km 해역
3/5/2017 9:18,3.2,37.75,129.66,강원 동해시 동북동쪽 54km 해역
3/5/2017 7:52,2.4,35.75,129.17,경북 경주시 남남서쪽 11km 지역
3/4/2017 6:33,2.3,35.99,127.95,경북 김천시 남서쪽 22km 지역
2/25/2017 6:59,2.4,35.74,129.18,경북 경주시 남남서쪽 11km 지역
2/25/2017 6:58,2.2,35.74,129.17,경북 경주시 남남서쪽 12km 지역
2/24/2017 12:29,2.5,38.89,126.09,북한 평양 동남동쪽 33km 지역
2/24/2017 11:34,2.3,36.38,127.79,충북 옥천군 동북동쪽 21km 지역
2/23/2017 21:03,3.1,37.4,124.89,인천 백령도 남남동쪽 64km 해역
2/22/2017 13:08,2.1,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2/21/2017 3:21,2.1,35.76,129.2,경북 경주시 남쪽 9km 지역
2/18/2017 20:58,2.4,35.23,126.94,광주 북구 북북동쪽 7km 지역
2/18/2017 16:53,2,33.23,126.18,제주 서귀포시 서쪽 35km 해역
2/16/2017 18:20,2.3,35.64,128.09,경남 합천군 북서쪽 11km 지역
2/16/2017 2:34,2.9,35.78,129.2,경북 경주시 남남서쪽 7km 지역
2/12/2017 9:22,2.3,35.69,129.58,울산 북구 동북동쪽 23km 해역
2/10/2017 18:01,2.6,38.54,125.84,북한 황해북도 사리원 동북동쪽 8km 지역
2/10/2017 5:22,2.2,35.65,129.57,울산 북구 동북동쪽 20km 해역
2/5/2017 20:06,2.6,39.61,127.64,북한 함경남도 함흥 남남동쪽 34km 해역
2/5/2017 19:07,2.5,33.61,126.73,제주 제주시 동북동쪽 22km 해역
1/29/2017 13:45,2.6,38.7,127.16,북한 강원도 평강 북북서쪽 34km 지역
1/26/2017 22:53,2,33.54,126.87,제주 제주시 동쪽 32km 해역
1/24/2017 4:07,2.6,35.77,129.17,경북 경주시 남남서쪽 9km 지역
1/21/2017 3:27,2.6,35.75,129.18,경북 경주시 남남서쪽 10km 지역
1/18/2017 12:49,2.5,35.02,125.06,전남 신안군 흑산면 북서쪽 56km 해역
1/17/2017 16:06,2.8,38.71,125.86,북한 황해북도 송림 동쪽 20km 지역
1/16/2017 19:54,2.1,36.33,126.59,충남 보령시 서쪽 2km 지역
1/16/2017 6:57,2.7,33.64,127.51,전남 여수시 거문도 남남동쪽 47km 해역
1/14/2017 11:52,2.2,35.17,127.79,경남 하동군 북북동쪽 12km 지역
1/11/2017 0:10,2.1,36.44,128.42,경북 의성군 서북서쪽 27km 지역
1/7/2017 6:37,2.4,38.69,125.73,북한 황해북도 송림 동남동쪽 10km 지역
1/6/2017 5:33,2.2,35.75,129.18,경북 경주시 남남서쪽 10km 지역
1/6/2017 5:31,3.3,35.75,129.17,경북 경주시 남남서쪽 11km 지역
1/4/2017 5:00,2.5,36.58,129.24,경북 영덕군 북북서쪽 22km 지역
12/31/2016 8:01,2.6,39.31,126.27,북한 평안남도 성천 북북동쪽 9km 지역
12/30/2016 15:04,2.5,38.64,125.76,북한 황해북도 사리원 북쪽 15km 지역
12/29/2016 21:32,2.3,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
12/29/2016 5:53,2.6,38.71,125.76,북한 황해북도 송림 동남동쪽 11km 지역
12/25/2016 6:29,2.5,35.78,129.31,경북 경주시 남동쪽 11km 지역
12/25/2016 1:59,2.4,35.25,129.39,부산 기장군 동쪽 15km 해역
12/23/2016 5:31,2.2,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
12/22/2016 21:13,2.2,34.45,128.54,경남 통영시 매물도 남쪽 22km 해역
12/15/2016 17:14,2.1,35.76,129.19,경북 경주시 남남서쪽 9km 지역
12/14/2016 17:20,3.3,35.76,129.17,경북 경주시 남남서쪽 10km 지역
